region;streams_local;streams_tot_mood;mood;streams_others;ratio
;100849;1457548;Boom Bap/Classic Hip Hop;1356699;7,4334100636913564E-2
Calabria;34401;1457548;Boom Bap/Classic Hip Hop;1423147;2,4172485344100082E-2
Campania;225106;1457548;Boom Bap/Classic Hip Hop;1232442;0,18265038030187222
Emilia-Romagna;4549;1457548;Boom Bap/Classic Hip Hop;1452999;3,1307660913737724E-3
Lazio;65817;1457548;Boom Bap/Classic Hip Hop;1391731;4,7291466526218066E-2
Liguria;5674;1457548;Boom Bap/Classic Hip Hop;1451874;3,9080526271563507E-3
Lombardia;661423;1457548;Boom Bap/Classic Hip Hop;796125;0,83080295179777042
Marche;83462;1457548;Boom Bap/Classic Hip Hop;1374086;6,0740011906096125E-2
Piemonte;66545;1457548;Boom Bap/Classic Hip Hop;1391003;0,04783958050413982
Puglia;51123;1457548;Boom Bap/Classic Hip Hop;1406425;3,6349609826332722E-2
Sardegna;78666;1457548;Boom Bap/Classic Hip Hop;1378882;5,7050567053598497E-2
Sicilia;43931;1457548;Boom Bap/Classic Hip Hop;1413617;3,1077017325060467E-2
Toscana;4455;1457548;Boom Bap/Classic Hip Hop;1453093;3,0658739667729458E-3
Veneto;31547;1457548;Boom Bap/Classic Hip Hop;1426001;2,2122705383797066E-2
;1213194;15183528;Cloud Rap/Experimental;13970334;8,6840729792143842E-2
Calabria;36807;15183528;Cloud Rap/Experimental;15146721;2,4300308957958625E-3
Campania;2712850;15183528;Cloud Rap/Experimental;12470678;0,21753829262530874
Emilia-Romagna;33679;15183528;Cloud Rap/Experimental;15149849;2,2230584608467054E-3
Lazio;2042393;15183528;Cloud Rap/Experimental;13141135;0,15541983245739427
Liguria;727576;15183528;Cloud Rap/Experimental;14455952;5,0330548966958384E-2
Lombardia;4249905;15183528;Cloud Rap/Experimental;10933623;0,38870052497694496
Marche;631718;15183528;Cloud Rap/Experimental;14551810;4,3411644324657897E-2
Piemonte;610398;15183528;Cloud Rap/Experimental;14573130;4,1885168114193724E-2
Puglia;1172962;15183528;Cloud Rap/Experimental;14010566;8,3719815459275523E-2
Sardegna;696440;15183528;Cloud Rap/Experimental;14487088;4,8073153141611341E-2
Sicilia;307290;15183528;Cloud Rap/Experimental;14876238;2,0656432089887242E-2
Toscana;46893;15183528;Cloud Rap/Experimental;15136635;3,0979804956649875E-3
Veneto;701423;15183528;Cloud Rap/Experimental;14482105;4,8433773957584206E-2
;2752108;62589676;Club/Party Rap;59837568;4,5992978859033841E-2
Calabria;47589;62589676;Club/Party Rap;62542087;7,6091160821032408E-4
Campania;6742633;62589676;Club/Party Rap;55847043;0,12073393035330447
Emilia-Romagna;689741;62589676;Club/Party Rap;61899935;1,1142838841430124E-2
Lazio;5702948;62589676;Club/Party Rap;56886728;0,10025094078182877
Liguria;4353555;62589676;Club/Party Rap;58236121;7,4756953678284999E-2
Lombardia;24570534;62589676;Club/Party Rap;38019142;0,64626745127493934
Marche;1962335;62589676;Club/Party Rap;60627341;3,2367162531505379E-2
Piemonte;824522;62589676;Club/Party Rap;61765154;1,3349306957123429E-2
Puglia;2465638;62589676;Club/Party Rap;60124038;4,1009188371546171E-2
Sardegna;3309755;62589676;Club/Party Rap;59279921;5,5832648629879245E-2
Sicilia;6352284;62589676;Club/Party Rap;56237392;0,11295481127574337
Toscana;27304;62589676;Club/Party Rap;62562372;4,3642846534015686E-4
Trentino-Alto Adige;5043;62589676;Club/Party Rap;62584633;8,0578885874428636E-5
Veneto;2783687;62589676;Club/Party Rap;59805989;4,6545288298802313E-2
;1995764;38075544;Introspective Rap;36079780;5,5315304029015695E-2
Calabria;50285;38075544;Introspective Rap;38025259;1,3224104535356353E-3
Campania;4612806;38075544;Introspective Rap;33462738;0,13784903076371097
Emilia-Romagna;111250;38075544;Introspective Rap;37964294;2,9303850612894316E-3
Lazio;6934629;38075544;Introspective Rap;31140915;0,2226854605909942
Liguria;2915431;38075544;Introspective Rap;35160113;8,2918703930217746E-2
Lombardia;10962743;38075544;Introspective Rap;27112801;0,40433826811180446
Marche;1089999;38075544;Introspective Rap;36985545;2,9470946014179322E-2
Piemonte;1117155;38075544;Introspective Rap;36958389;3,0227372735321337E-2
Puglia;2342852;38075544;Introspective Rap;35732692;6,5566064823775388E-2
Sardegna;1990707;38075544;Introspective Rap;36084837;5,5167410067558292E-2
Sicilia;832984;38075544;Introspective Rap;37242560;2,2366453863536771E-2
Toscana;78181;38075544;Introspective Rap;37997363;2,0575375191167872E-3
Veneto;3040758;38075544;Introspective Rap;35034786;0,0867925381362398
;2768144;54410859;Lo-Fi Hip Hop/Chill Rap;51642715;5,3601829415823705E-2
Calabria;115653;54410859;Lo-Fi Hip Hop/Chill Rap;54295206;2,1300775615438312E-3
Campania;10745537;54410859;Lo-Fi Hip Hop/Chill Rap;43665322;0,24608857802537218
Emilia-Romagna;185586;54410859;Lo-Fi Hip Hop/Chill Rap;54225273;3,4225000582293057E-3
Lazio;8021665;54410859;Lo-Fi Hip Hop/Chill Rap;46389194;0,17292098241672405
Liguria;5149612;54410859;Lo-Fi Hip Hop/Chill Rap;49261247;0,10453677715466683
Lombardia;14550411;54410859;Lo-Fi Hip Hop/Chill Rap;39860448;0,36503380493867005
Marche;1317390;54410859;Lo-Fi Hip Hop/Chill Rap;53093469;2,4812656336318878E-2
Piemonte;1503081;54410859;Lo-Fi Hip Hop/Chill Rap;52907778;2,8409452387132945E-2
Puglia;3468420;54410859;Lo-Fi Hip Hop/Chill Rap;50942439;6,8085079318640399E-2
Sardegna;2035534;54410859;Lo-Fi Hip Hop/Chill Rap;52375325;3,8864369815366298E-2
Sicilia;1927412;54410859;Lo-Fi Hip Hop/Chill Rap;52483447;3,6724188485561936E-2
Toscana;4683;54410859;Lo-Fi Hip Hop/Chill Rap;54406176;8,607478680361582E-5
Trentino-Alto Adige;5869;54410859;Lo-Fi Hip Hop/Chill Rap;54404990;1,0787613415607649E-4
Veneto;2611862;54410859;Lo-Fi Hip Hop/Chill Rap;51798997;5,0423022669724669E-2
;1315484;31688230;Trap/Drill;30372746;4,3311329176492636E-2
Calabria;62876;31688230;Trap/Drill;31625354;1,988151658318196E-3
Campania;2571249;31688230;Trap/Drill;29116981;8,8307541224826841E-2
Lazio;4609632;31688230;Trap/Drill;27078598;0,17023156073294488
Liguria;978274;31688230;Trap/Drill;30709956;3,1855271951545618E-2
Lombardia;9721625;31688230;Trap/Drill;21966605;0,44256383724294218
Marche;1818705;31688230;Trap/Drill;29869525;6,0888313423129427E-2
Piemonte;1411553;31688230;Trap/Drill;30276677;4,6621794062802861E-2
Puglia;1828921;31688230;Trap/Drill;29859309;6,1251283477457563E-2
Sardegna;2847209;31688230;Trap/Drill;28841021;9,8720811582918649E-2
Sicilia;2221014;31688230;Trap/Drill;29467216;7,5372373148518676E-2
Trentino-Alto Adige;5161;31688230;Trap/Drill;31683069;1,6289457312358219E-4
Veneto;2296527;31688230;Trap/Drill;29391703;7,8135213873112425E-2
