"Avg_Solo","Avg_Feat","mood","Artist_Status","Collaboration Lift"
"6696","15363","Boom Bap/Classic Hip Hop","Strong","129"
"4973","4873","Boom Bap/Classic Hip Hop","Weak","-2"
"26224","22277","Cloud Rap/Experimental","Strong","-15"
"6514","6883","Cloud Rap/Experimental","Weak","6"
"42984","50482","Club/Party Rap","Strong","17"
"8514","12525","Club/Party Rap","Weak","47"
"41433","50708","Introspective Rap","Strong","22"
"7755","8642","Introspective Rap","Weak","11"
"39029","38180","Lo-Fi Hip Hop/Chill Rap","Strong","-2"
"8653","10101","Lo-Fi Hip Hop/Chill Rap","Weak","17"
"26293","27672","Trap/Drill","Strong","5"
"6357","7381","Trap/Drill","Weak","16"
