winter_streams;summer_streams;winter_count;summer_count;region;score_count_ratio;score_streams_ratio
2441602;1242613;321;97;;0,30218068535825543;0,50893347892080687
1929003;644752;91;37;Puglia;0,40659340659340659;0,33424105613106875
2948918;2153258;84;73;Sicilia;0,86904761904761907;0,7301857833958082
195635;71633;39;14;Calabria;0,35897435897435898;0,36615636261405166
853197;942430;130;118;Piemonte;0,90769230769230769;1,104586631223504
0;10912;0;2;Trentino-Alto Adige;0;0
76115;46256;15;9;Toscana;0,59999999999999998;0,60771201471457659
3168138;1685870;196;103;Veneto;0,52551020408163263;0,53213275431815155
15735499;14235705;1091;701;Lombardia;0,64252978918423465;0,904687229810761
4022056;7676129;324;273;Campania;0,84259259259259256;1,9085087328470811
205805;125932;19;16;Emilia-Romagna;0,84210526315789469;0,61189961371200896
2193418;5448606;104;135;Liguria;1,2980769230769231;2,4840709796308773
1155003;440270;119;37;Marche;0,31092436974789917;0,38118515709483003
2853199;633991;164;71;Sardegna;0,43292682926829268;0,2222035686960496
7420206;4806961;411;140;Lazio;0,34063260340632601;0,64782042439253029
